Date,Scrip,Name Moving Averages,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action
13-10-2023,TCS,Exponential Moving Average (10),3570.95,1 Min,Buy,3571.26,5 Min,Buy,3569.02,15 Min,Buy,3567.12,30 Min,Buy,3567.53,1 Hour,Buy,3574.27,2 Hour,Buy,3583.48,4 Hour,Sell,3581.46,1 Day,Sell,3510.08,1 Week,Buy,3395.75,1 Month,Buy
13-10-2023,TCS,Simple Moving Average (10),3570.57,1 Min,Buy,3571.81,5 Min,Buy,3568.16,15 Min,Buy,3566.66,30 Min,Buy,3559.69,1 Hour,Buy,3568.91,2 Hour,Buy,3602.04,4 Hour,Sell,3578.15,1 Day,Sell,3494.11,1 Week,Buy,3356.62,1 Month,Buy
13-10-2023,TCS,Exponential Moving Average (20),3570.76,1 Min,Buy,3569.79,5 Min,Buy,3566,15 Min,Buy,3567.49,30 Min,Buy,3576.05,1 Hour,Sell,3583.21,2 Hour,Sell,3582.26,4 Hour,Sell,3563.93,1 Day,Buy,3442.01,1 Week,Buy,3334.72,1 Month,Buy
13-10-2023,TCS,Simple Moving Average (20),3570.55,1 Min,Buy,3569.24,5 Min,Buy,3565.32,15 Min,Buy,3558.59,30 Min,Buy,3577.48,1 Hour,Sell,3602.32,2 Hour,Sell,3577.57,4 Hour,Sell,3581.49,1 Day,Sell,3408.03,1 Week,Buy,3342.13,1 Month,Buy
13-10-2023,TCS,Exponential Moving Average (30),3570.71,1 Min,Buy,3568.48,5 Min,Buy,3565.68,15 Min,Buy,3572.46,30 Min,Buy,3581.74,1 Hour,Sell,3584.1,2 Hour,Sell,3574.33,4 Hour,Sell,3541.93,1 Day,Buy,3404.56,1 Week,Buy,3240.32,1 Month,Buy
13-10-2023,TCS,Simple Moving Average (30),3570.67,1 Min,Buy,3567.83,5 Min,Buy,3560.42,15 Min,Buy,3566.12,30 Min,Buy,3594.65,1 Hour,Sell,3598.03,2 Hour,Sell,3578.89,4 Hour,Sell,3539,1 Day,Buy,3344.45,1 Week,Buy,3401.09,1 Month,Buy
13-10-2023,TCS,Exponential Moving Average (50),3570.44,1 Min,Buy,3566.33,5 Min,Buy,3570.12,15 Min,Buy,3580.52,30 Min,Sell,3583.93,1 Hour,Sell,3578.46,2 Hour,Sell,3552.66,4 Hour,Buy,3501.76,1 Day,Buy,3371.14,1 Week,Buy,2997.1,1 Month,Buy
13-10-2023,TCS,Simple Moving Average (50),3571.14,1 Min,Buy,3566.69,5 Min,Buy,3558.28,15 Min,Buy,3590.78,30 Min,Sell,3600.67,1 Hour,Sell,3576.49,2 Hour,Sell,3565.48,4 Hour,Buy,3491.34,1 Day,Buy,3343.82,1 Week,Buy,3000.96,1 Month,Buy
13-10-2023,TCS,Exponential Moving Average (100),3569.27,1 Min,Buy,3565.85,5 Min,Buy,3581.05,15 Min,Sell,3583.76,30 Min,Sell,3574.61,1 Hour,Sell,3551.97,2 Hour,Buy,3501.08,4 Hour,Buy,3434.16,1 Day,Buy,3301.73,1 Week,Buy,2443.07,1 Month,Buy
13-10-2023,TCS,Simple Moving Average (100),3568.89,1 Min,Buy,3559.29,5 Min,Buy,3592.26,15 Min,Sell,3593.45,30 Min,Sell,3575.42,1 Hour,Sell,3563.93,2 Hour,Buy,3490.03,4 Hour,Buy,3400.87,1 Day,Buy,3391.38,1 Week,Buy,2260.54,1 Month,Buy
