Date,Open ,High,Low,Close,Close - Open,High - Open,Low - Open,High - Low
19-Jun-24,167,1516.1,0.85,957.15,790.15,1349.1,-166.15,1515.25
20-Jun-24,314.85,444.15,-116.55,385.2,70.35,129.3,-431.4,560.7
21-Jun-24,144.05,151.1,-558.3,-121.8,-265.85,7.05,-702.35,709.4
24-Jun-24,-381.2,122.5,-522.55,42.5,423.7,503.7,-141.35,645.05
25-Jun-24,55.5,1042.55,43.7,902.05,846.55,987.05,-11.8,998.85
26-Jun-24,47.2,382.3,-232.3,264.5,217.3,335.1,-279.5,614.6
27-Jun-24,109.8,310.25,-231.5,-59.2,-169,200.45,-341.3,541.75
28-Jun-24,63.65,219,-569,-469.05,-532.7,155.35,-632.65,788
01-Jul-24,8.9,313.9,-176.2,232.5,223.6,305,-185.1,490.1
02-Jul-24,219,253.7,-578.1,-406.65,-625.65,34.7,-797.1,831.8
03-Jul-24,704.2,1088.6,314.55,921.15,216.95,384.4,-389.65,774.05
04-Jul-24,268.45,268.45,-273.35,14.45,-254,0,-541.8,541.8
05-Jul-24,-543.6,-285.85,-813.65,-443.35,100.25,257.75,-270.05,527.8
08-Jul-24,-127.25,50.45,-413.65,-234.55,-107.3,177.7,-286.4,464.1
09-Jul-24,-35.3,200.8,-132.85,143,178.3,236.1,-97.55,333.65
10-Jul-24,-40,-40,-493.4,-379.5,-339.5,0,-453.4,453.4
11-Jul-24,127.6,211,-439.85,81.35,-46.25,83.4,-567.45,650.85
12-Jul-24,2,523.9,-99.5,8.25,6.25,521.9,-101.5,623.4
15-Jul-24,51.15,383.35,-124.9,177,125.85,332.2,-176.05,508.25
16-Jul-24,10.8,163.15,-124.3,-59.1,-69.9,152.35,-135.1,287.45
18-Jul-24,-181.75,385.95,-228.15,223.9,405.65,567.7,-46.4,614.1
19-Jul-24,-89.15,-33.95,-474.4,-355.1,-265.95,55.2,-385.25,440.45
22-Jul-24,-120,161.4,-391.05,14.8,134.8,281.4,-271.05,552.45
23-Jul-24,230.6,267.15,-937.75,-502.1,-732.7,36.55,-1168.35,1204.9
24-Jul-24,-120.65,166.35,-994.05,-461.3,-340.65,287,-873.4,1160.4
25-Jul-24,-554.7,-310.9,-757.1,-428.25,126.45,243.8,-202.4,446.2
26-Jul-24,-432.65,509.85,-450.45,407.2,839.85,942.5,-17.8,960.3
29-Jul-24,250.7,1044.3,-109,110.3,-140.4,793.6,-359.7,1153.3
30-Jul-24,-22.35,551.5,-146.2,93.05,115.4,573.85,-123.85,697.7
31-Jul-24,84.15,163.8,-163.6,54.1,-30.05,79.65,-247.75,327.4
01-Aug-24,119.2,323.75,-97.2,10.6,-108.6,204.55,-216.4,420.95
02-Aug-24,-391.75,44.7,-476.15,-213.85,177.9,436.45,-84.4,520.85
05-Aug-24,-763.9,-602.6,-1631.05,-1258.05,-494.15,161.3,-867.15,1028.45
06-Aug-24,344.8,596.7,-433.05,-343.8,-688.6,251.9,-777.85,1029.75
07-Aug-24,537.9,544.15,33.9,370.7,-167.2,6.25,-504,510.25
08-Aug-24,-67.1,321.75,-289.4,37.7,104.8,388.85,-222.3,611.15
09-Aug-24,455.4,551.05,229.75,327.8,-127.6,95.65,-225.65,321.3
12-Aug-24,-71.9,346.2,-335.25,93.45,165.35,418.1,-263.35,681.45
13-Aug-24,-182.6,-18.7,-792.85,-746.1,-563.5,163.9,-610.25,774.15
14-Aug-24,55.3,127.4,-177.2,-104.55,-159.85,72.1,-232.5,304.6
16-Aug-24,405.7,876.1,78.75,789.6,383.9,470.4,-326.95,797.35
19-Aug-24,166.65,211.35,-233.35,-148.55,-315.2,44.7,-400,444.7
20-Aug-24,48.9,657.25,30.25,434.8,385.9,608.35,-18.65,627
21-Aug-24,-136.5,-30.7,-469.8,-117.6,18.9,105.8,-333.3,439.1
22-Aug-24,209.25,394.45,108.9,300.15,90.9,185.2,-100.35,285.55
23-Aug-24,54.35,132.15,-129,-52.25,-106.6,77.8,-183.35,261.15
26-Aug-24,167.2,384.4,128.1,214.65,47.45,217.2,-39.1,256.3
27-Aug-24,65.95,256.6,-210,130.65,64.7,190.65,-275.95,466.6
28-Aug-24,-69.8,-18,-245.05,-134.9,-65.1,51.8,-175.25,227.05
29-Aug-24,-40.1,225.1,-159.45,8.9,49,265.2,-119.35,384.55
30-Aug-24,284.7,313.8,103.25,198.25,-86.45,29.1,-181.45,210.55
02-Sep-24,228.5,228.5,-55.2,88.55,-139.95,0,-283.7,283.7
03-Sep-24,40.2,310.55,-199.5,249.55,209.35,270.35,-239.7,510.05
04-Sep-24,-324.45,-185.55,-429.2,-288.85,35.6,138.9,-104.75,243.65
05-Sep-24,144,236.5,-11.1,72.8,-71.2,92.5,-155.1,247.6
06-Sep-24,-272.65,-93,-1025.75,-896.2,-623.55,179.65,-753.1,932.75
09-Sep-24,-27.6,615.9,-207.45,540.95,568.55,643.5,-179.85,823.35
10-Sep-24,210.5,248.2,-159.55,154.5,-56,37.7,-370.05,407.75
11-Sep-24,-53.75,147.85,-324.6,-262.3,-208.55,201.6,-270.85,472.45
12-Sep-24,261,868.1,15,762.4,501.4,607.1,-246,853.1
13-Sep-24,180.15,221.7,-128.45,165.65,-14.5,41.55,-308.6,350.15
16-Sep-24,100.65,270.65,-16.6,215.1,114.45,170,-117.25,287.25
17-Sep-24,95.9,131.45,-67.65,35.5,-60.4,35.55,-163.55,199.1
18-Sep-24,-11.55,765.55,-34.1,561.75,573.3,777.1,-22.55,799.65
19-Sep-24,178.85,602.9,97.5,287.2,108.35,424.05,-81.35,505.4
20-Sep-24,198.2,1028.5,0,755.6,557.4,830.3,-198.2,1028.5
23-Sep-24,124.7,404.75,-51.8,312.6,187.9,280.05,-176.5,456.55
24-Sep-24,4.85,141.9,-201.15,-137.2,-142.05,137.05,-206,343.05
25-Sep-24,-174.6,172.7,-175.75,133.05,307.65,347.3,-1.15,348.45
26-Sep-24,-55.8,365.7,-90.75,273.7,329.5,421.5,-34.95,456.45
27-Sep-24,-36.65,-36.65,-612.15,-541.05,-504.4,0,-575.5,575.5
30-Sep-24,-277.35,-107.9,-907.75,-856.2,-578.85,169.45,-630.4,799.85
01-Oct-24,-134.1,257.15,-160.3,-55.5,78.6,391.25,-26.2,417.45
03-Oct-24,-608.15,-339.65,-1239.2,-1077.4,-469.25,268.5,-631.05,899.55
04-Oct-24,-201.45,513.15,-497.95,-383.15,-181.7,714.6,-296.5,1011.1
07-Oct-24,81.15,322.75,-1267.75,-983.15,-1064.3,241.6,-1348.9,1590.5
08-Oct-24,257.2,697.15,-12.9,542.1,284.9,439.95,-270.1,710.05
09-Oct-24,140.75,686.15,-117.25,-14,-154.75,545.4,-258,803.4
10-Oct-24,188.7,652.45,40,523.9,335.2,463.75,-148.7,612.45
11-Oct-24,-39,29.1,-525.05,-358.6,-319.6,68.1,-486.05,554.15
14-Oct-24,90.95,720.7,48.55,644.6,553.65,629.75,-42.4,672.15
15-Oct-24,159.05,205.15,-118.15,89.1,-69.95,46.1,-277.2,323.3
16-Oct-24,-194.8,125.6,-194.8,-104.95,89.85,320.4,0,320.4
17-Oct-24,48.25,129.15,-650.8,-512.25,-560.5,80.9,-699.05,779.95
18-Oct-24,-27.8,910.65,-287.9,805.4,833.2,938.45,-260.1,1198.55
21-Oct-24,266.9,483.3,-239.05,-131.5,-398.4,216.4,-505.95,722.35
22-Oct-24,108.65,294.6,-783.1,-705.55,-814.2,185.95,-891.75,1077.7
23-Oct-24,-139.35,294.4,-149.25,-18.15,121.2,433.75,-9.9,443.65
24-Oct-24,33.3,542.55,-37.15,292.15,258.85,509.25,-70.45,579.7
25-Oct-24,-161.4,-30.1,-1149.05,-743.7,-582.3,131.3,-987.65,1118.95
28-Oct-24,273.9,801.7,225.1,471.85,197.95,527.8,-48.8,576.6
29-Oct-24,144.8,1095.55,19.6,1061.4,916.6,950.75,-125.2,1075.95
30-Oct-24,-332,-100.7,-587.7,-513.2,-181.2,231.3,-255.7,487
31-Oct-24,-158.05,198.1,-489.4,-332.15,-174.1,356.15,-331.35,687.5
01-Nov-24,74.8,350.15,-15.95,198.55,123.75,275.35,-90.75,366.1
04-Nov-24,90.6,90.6,-607.1,-458.65,-549.25,0,-697.7,697.7
05-Nov-24,-162.65,1074.3,-349.8,992,1154.65,1236.95,-187.15,1424.1
06-Nov-24,233.15,286.7,-21.85,110.15,-123,53.55,-255,308.55
07-Nov-24,-58.45,59.85,-565.15,-400.9,-342.45,118.3,-506.7,625
08-Nov-24,-47.35,90.65,-422.5,-355.3,-307.95,138,-375.15,513.15
11-Nov-24,1.5,616.5,-267,315.55,314.05,615,-268.5,883.5
12-Nov-24,177,292.3,-869.9,-718.95,-895.95,115.3,-1046.9,1162.2
13-Nov-24,-126.85,195.7,-1253.4,-1069.45,-942.6,322.55,-1126.55,1449.1
14-Nov-24,-34.9,473.45,-149,91.2,126.1,508.35,-114.1,622.45
18-Nov-24,132.9,266.25,-105.55,184.25,51.35,133.35,-238.45,371.8
19-Nov-24,216.75,619.7,77.05,262.7,45.95,402.95,-139.7,542.65
