Date,Open ,High,Low,Close,Close - Open,High - Open,Low - Open,High - Low
24-Jun-24,-157.75,106.55,-180.5,79.7,237.45,264.3,-22.75,287.05
25-Jun-24,30.05,506.25,26.8,439.4,409.35,476.2,-3.25,479.45
26-Jun-24,8.2,128.15,-108.55,82.05,73.85,119.95,-116.75,236.7
27-Jun-24,45.5,170.5,-88.25,32.15,-13.35,125,-133.75,258.75
28-Jun-24,19.35,86.2,-245.3,-204.55,-223.9,66.85,-264.65,331.5
01-Jul-24,-1.8,239.95,-59.2,210.75,212.55,241.75,-57.4,299.15
02-Jul-24,101.5,118.2,-235.1,-130.2,-231.7,16.7,-336.6,353.3
03-Jul-24,346.35,490.6,191.9,422.9,76.55,144.25,-154.45,298.7
04-Jul-24,120.5,122.85,-114.8,-44.05,-164.55,2.35,-235.3,237.65
05-Jul-24,-239.3,-160.3,-382.85,-237.95,1.35,79,-143.55,222.55
08-Jul-24,-26.15,38.5,-164.95,-55,-28.85,64.65,-138.8,203.45
09-Jul-24,-20.5,99.05,-63.15,75.85,96.35,119.55,-42.65,162.2
10-Jul-24,-15.1,-12.75,-184.6,-63.5,-48.4,2.35,-169.5,171.85
11-Jul-24,53.3,85.4,-210.85,0.35,-52.95,32.1,-264.15,296.25
12-Jul-24,7.5,220.45,-46.45,4.95,-2.55,212.95,-53.95,266.9
15-Jul-24,23.35,170.85,-48.2,87.45,64.1,147.5,-71.55,219.05
16-Jul-24,4.15,68.35,-63,-43.5,-47.65,64.2,-67.15,131.35
18-Jul-24,-89.2,190.15,-124.6,135.15,224.35,279.35,-35.4,314.75
19-Jul-24,-45.8,-21.45,-217.45,-187.15,-141.35,24.35,-171.65,196
22-Jul-24,-53.15,122.7,-145.55,30.45,83.6,175.85,-92.4,268.25
23-Jul-24,83.5,98.2,-515.75,-322.7,-406.2,14.7,-599.25,613.95
24-Jul-24,-80,84.25,-334.9,-139,-59,164.25,-254.9,419.15
25-Jul-24,-243.5,-100.9,-298.95,-115.6,127.9,142.6,-55.45,198.05
26-Jul-24,-108.35,309.45,-115.5,267.2,375.55,417.8,-7.15,424.95
29-Jul-24,54.3,351.85,-94.55,-1.4,-55.7,297.55,-148.85,446.4
30-Jul-24,-16.4,268.55,-106.95,22.7,39.1,284.95,-90.55,375.5
31-Jul-24,26.95,125.7,10.15,74.2,47.25,98.75,-16.8,115.55
01-Aug-24,50.6,138.45,-24.55,23.65,-26.95,87.85,-75.15,163
02-Aug-24,-181.65,41,-197.6,-69.95,111.7,222.65,-15.95,238.6
05-Aug-24,-381.4,-279.75,-767.9,-603.2,-221.8,101.65,-386.5,488.15
06-Aug-24,155.15,316.2,-264.9,-242.6,-397.75,161.05,-420.05,581.1
07-Aug-24,262.6,337.85,101.95,284.65,22.05,75.25,-160.65,235.9
08-Aug-24,-41.8,184.1,-125.15,33.65,75.45,225.9,-83.35,309.25
09-Aug-24,205.85,250.15,107.2,144.9,-60.95,44.3,-98.65,142.95
12-Aug-24,-16.7,175.1,-152.5,45.25,61.95,191.8,-135.8,327.6
13-Aug-24,-109.05,-39.4,-454.05,-431.75,-322.7,69.65,-345,414.65
14-Aug-24,39.6,66.6,-77.95,-5.1,-44.7,27,-117.55,144.55
16-Aug-24,182.7,405.4,26.25,384.5,201.8,222.7,-156.45,379.15
19-Aug-24,86.2,89.7,-104.2,-53.5,-139.7,3.5,-190.4,193.9
20-Aug-24,21.1,324.5,4.1,255.45,234.35,303.4,-17,320.4
21-Aug-24,-55.15,-7.75,-164.1,-34.5,20.65,47.4,-108.95,156.35
22-Aug-24,87.2,140.2,19.8,103.5,16.3,53,-67.4,120.4
23-Aug-24,28,58.35,-47.2,-15,-43,30.35,-75.2,105.55
26-Aug-24,91.9,205.3,54.35,154.05,62.15,113.4,-37.55,150.95
27-Aug-24,16.7,216.95,-105.8,192.6,175.9,200.25,-122.5,322.75
28-Aug-24,-21.2,-7.6,-97.55,-57.3,-36.1,13.6,-76.35,89.95
29-Aug-24,-2,154.05,-36.65,60.2,62.2,156.05,-34.65,190.7
30-Aug-24,131.15,136.5,12.15,56.2,-74.95,5.35,-119,124.35
02-Sep-24,118.8,128.5,25.25,89.65,-29.15,9.7,-93.55,103.25
03-Sep-24,37.35,223.4,-132.5,194.65,157.3,186.05,-169.85,355.9
04-Sep-24,-150.1,-74.5,-179.8,-88.15,61.95,75.6,-29.7,105.3
05-Sep-24,51.95,87.55,-4.55,25.45,-26.5,35.6,-56.5,92.1
06-Sep-24,-108.7,-4.3,-386.5,-329.75,-221.05,104.4,-277.8,382.2
09-Sep-24,-5.7,205.5,-88.2,192.4,198.1,211.2,-82.5,293.7
10-Sep-24,84.8,85.25,-162.95,-72.75,-157.55,0.45,-247.75,248.2
11-Sep-24,-23.7,75.95,-107,-66.9,-43.2,99.65,-83.3,182.95
12-Sep-24,129.7,407.75,-4.05,363.1,233.4,278.05,-133.75,411.8
13-Sep-24,75.65,75.65,-89.8,33.95,-41.7,0,-165.45,165.45
16-Sep-24,54.8,101.55,-46.85,10.3,-44.5,46.75,-101.65,148.4
