Date,Open ,High,Low,Close,Close - Open,High - Open,Low - Open,High - Low
24-Jun-24,-118.8,57,-151.1,36.75,155.55,175.8,-32.3,208.1
25-Jun-24,39.25,216.3,24.2,183.45,144.2,177.05,-15.05,192.1
26-Jun-24,1.8,168.6,-50.85,147.5,145.7,166.8,-52.65,219.45
27-Jun-24,12.75,218.65,-63.4,175.7,162.95,205.9,-76.15,282.05
28-Jun-24,41.4,129.5,-58.7,-33.9,-75.3,88.1,-100.1,188.2
01-Jul-24,-17.65,153.4,-17.9,131.35,149,171.05,-0.25,171.3
02-Jul-24,86.8,94.4,-85.55,-18.1,-104.9,7.6,-172.35,179.95
03-Jul-24,167.9,185.3,83.25,162.65,-5.25,17.4,-84.65,102.05
04-Jul-24,83.45,114.5,-5.5,15.65,-67.8,31.05,-88.95,120
05-Jul-24,-88.8,60.85,-133.3,21.7,110.5,149.65,-44.5,194.15
08-Jul-24,5.6,20.75,-83.3,-3.3,-8.9,15.15,-88.9,104.05
09-Jul-24,30.45,123.05,11.35,112.65,82.2,92.6,-19.1,111.7
10-Jul-24,26.65,27.85,-291.4,-108.75,-135.4,1.2,-318.05,319.25
11-Jul-24,72.1,78.2,-130.7,-8.5,-80.6,6.1,-202.8,208.9
12-Jul-24,72,276.25,15.2,186.2,114.2,204.25,-56.8,261.05
15-Jul-24,85.45,132.9,20.6,84.55,-0.9,47.45,-64.85,112.3
16-Jul-24,29.2,74.55,0.95,26.3,-2.9,45.35,-28.25,73.6
18-Jul-24,-69.2,224.75,-108.55,187.85,257.05,293.95,-39.35,333.3
19-Jul-24,52.95,53.95,-292.7,-269.95,-322.9,1,-345.65,346.65
22-Jul-24,-85.15,64.3,-168.6,-21.65,63.5,149.45,-83.45,232.9
23-Jul-24,59.65,73.3,-435.05,-30.2,-89.85,13.65,-494.7,508.35
24-Jul-24,-34.1,25.2,-171.8,-65.55,-31.45,59.3,-137.7,197
25-Jul-24,-182.55,12.65,-202.7,-7.4,175.15,195.2,-20.15,215.35
26-Jul-24,17.25,455.05,4.8,428.75,411.5,437.8,-12.45,450.25
29-Jul-24,108.45,164.9,-60.25,1.25,-107.2,56.45,-168.7,225.15
